X,Y,AREANAME,CLASS,ST
-85.253614747481,31.5681175502214,Abbeville,city,AL
-86.9579878013269,33.595647658412,Adamsville,city,AL
-87.1779331179683,34.200042086037,Addison,town,AL
-87.7387893534138,32.8762455853626,Akron,town,AL
-86.8246085211464,33.2266621195124,Alabaster,city,AL
-86.2093918814989,34.2625467897418,Albertville,city,AL
-85.9339725708443,32.9271386755242,Alexander City,city,AL
-88.1580269899042,33.12520186434,Aliceville,city,AL
-86.5180313462753,33.9065286125267,Allgood,town,AL
-86.3135327798766,34.0314780184352,Altoona,town,AL
-86.4813978943221,31.3078085745364,Andalusia,city,AL
-87.2705702859442,34.91359493163,Anderson,town,AL
-85.8139016827018,33.6627536157349,Anniston,city,AL
-86.5001157726353,34.3297289134499,Arab,city,AL
-86.8366294039127,34.9834450503039,Ardmore,town,AL
-86.510014827316,33.6867622644926,Argo,town,AL
-85.7153128082897,31.5985385276084,Ariton,town,AL
-87.2106414162493,34.0850869707561,Arley,town,AL
-85.2345350536661,31.185979307268,Ashford,city,AL
-85.8306628112216,33.271081631847,Ashland,town,AL
-86.2639891794299,33.8347899595878,Ashville,town,AL
-86.9599059938974,34.7860977475339,Athens,city,AL
-87.49541994569,31.0218751106175,Atmore,city,AL
-86.1018373902009,34.0100803173547,Attalla,city,AL
-85.4802710557082,32.5930348817465,Auburn,city,AL
-86.6557776829556,32.4311290919659,Autaugaville,town,AL
-85.2765564909229,31.1804711185993,Avon,town,AL
-86.3192931168636,31.3004608656183,Babbie,town,AL
-86.6134913887987,34.2621747203947,Baileyton,town,AL
-85.8382847000784,31.8144365598899,Banks,town,AL
-87.7769668985201,30.8809610391131,Bay Minette,city,AL
-88.2500895357429,30.4038617507826,Bayou La Batre,city,AL
-87.7156019778455,34.260636578567,Bear Creek,town,AL
-87.2090281596112,31.7339094504393,Beatrice,town,AL
-88.021437840297,33.9344350271689,Beaverton,town,AL
-87.9277538386765,33.6481939880046,Belk,town,AL
-86.8175620314068,32.307577706949,Benton,town,AL
-87.6077031513105,33.6632958412574,Berry,town,AL
-86.960593503192,33.3753467989,Bessemer,city,AL
-86.7085169026816,32.6604665413547,Billingsley,town,AL
-86.7992130238394,33.5278510937877,Birmingham,city,AL
-85.743142819146,31.0095660737781,Black,town,AL
-86.5884054598385,34.0809684372416,Blountsville,town,AL
-85.8375775240411,33.6886196794647,Blue Mountain,town,AL
-86.1905841601297,32.4926192453792,Blue Ridge,CDP,AL
-85.5030314897111,31.6606669026285,Blue Springs,town,AL
-86.1554673295403,34.2027125999914,Boaz,city,AL
-88.0242720825171,32.7531321342403,Boligee,town,AL
-86.338028764844,33.2614325233329,Bon Air,town,AL
-86.4270202037458,33.661221832179,Branchville,town,AL
-86.2566333893505,31.5818329792244,Brantley,town,AL
-87.1762155323091,32.942392938213,Brent,city,AL
-87.0728067931144,31.1147885117378,Brewton,city,AL
-85.7189742487231,34.9445057897312,Bridgeport,city,AL
-86.9454666076371,33.4389586710645,Brighton,city,AL
-87.7758343606476,34.0168251538685,Brilliant,town,AL
-86.9147353478554,33.6320357744824,Brookside,town,AL
-87.323908415381,33.2472945345151,Brookwood,town,AL
-85.8152195207992,31.7190235420723,Brundidge,city,AL
-88.2167416908604,32.0939903756534,Butler,city,AL
-85.9574320147459,33.6056498366698,Bynum,CDP,AL
-86.7281867087061,33.4597065538785,Cahaba Heights,CDP,AL
-86.7536613517725,33.1013877840745,Calera,city,AL
-87.2982644397392,32.0031056914233,Camden,town,AL
-85.6532898383361,32.8002471409522,Camp Hill,town,AL
-87.5250496194514,33.8959244503176,Carbon Hill,city,AL
-86.9289548988867,33.6462327435507,Cardiff,town,AL
-86.5206068837012,31.2315212501349,Carolina,town,AL
-88.0951502713551,33.261914418293,Carrollton,town,AL
-87.0284802448706,31.2999509602162,Castleberry,town,AL
-85.595999109349,34.2206061494909,Cedar Bluff,town,AL
-86.678752820832,33.6432356832786,Center Point,CDP,AL
-85.6716969720073,34.153117112851,Centre,city,AL
-87.1327084986502,32.9590134778478,Centreville,city,AL
-88.2537912649187,31.4700541030852,Chatom,town,AL
-86.6374168048366,33.3263942866605,Chelsea,CDP,AL
-87.9667283175221,34.7564548279588,Cherokee,town,AL
-88.0840863006305,30.7727377568371,Chickasaw,city,AL
-86.3533063221099,33.2795179156583,Childersburg,city,AL
-88.2498684639158,31.0962660631815,Citronelle,city,AL
-86.6246856801941,32.8401389195799,Clanton,city,AL
-85.7126790398877,31.2377436688949,Clayhatchee,town,AL
