latitude,longitude,date,hour,geometry,Cluster_label
40.7,-105.737,2020-09-26,435,POINT (-105.737 40.7),0
41.089,-106.299,2020-09-26,435,POINT (-106.299 41.089),0
41.084,-106.323,2020-09-26,435,POINT (-106.323 41.084),0
41.135,-106.143,2020-09-26,435,POINT (-106.143 41.135),0
41.13,-106.167,2020-09-26,435,POINT (-106.167 41.13),0
41.125,-106.19,2020-09-26,435,POINT (-106.19 41.125),0
41.106,-106.28,2020-09-26,435,POINT (-106.28 41.106),0
41.101000000000006,-106.303,2020-09-26,435,POINT (-106.303 41.10100000000001),0
41.096,-106.327,2020-09-26,435,POINT (-106.327 41.096),0
41.091,-106.35,2020-09-26,435,POINT (-106.35 41.091),0
41.08600000000001,-106.372,2020-09-26,435,POINT (-106.372 41.08600000000001),0
41.147,-106.148,2020-09-26,435,POINT (-106.148 41.147),0
41.142,-106.171,2020-09-26,435,POINT (-106.171 41.142),0
41.137,-106.194,2020-09-26,435,POINT (-106.194 41.137),0
41.103,-106.355,2020-09-26,435,POINT (-106.355 41.103),0
41.098,-106.377,2020-09-26,435,POINT (-106.377 41.098),0
41.149,-106.198,2020-09-26,435,POINT (-106.198 41.149),0
41.144,-106.222,2020-09-26,435,POINT (-106.222 41.144),0
41.15,-106.156,2020-09-26,435,POINT (-106.156 41.15),0
41.145,-106.179,2020-09-26,435,POINT (-106.179 41.145),0
41.14100000000001,-106.201,2020-09-26,435,POINT (-106.201 41.14100000000001),0
41.11,-106.338,2020-09-26,435,POINT (-106.338 41.11),0
41.105,-106.363,2020-09-26,435,POINT (-106.363 41.105),0
41.1,-106.385,2020-09-26,435,POINT (-106.385 41.1),0
41.213,-106.403,2020-09-26,435,POINT (-106.403 41.213),0
41.215,-106.409,2020-09-26,435,POINT (-106.409 41.215),0
31.598000000000006,-96.19,2020-09-26,430,POINT (-96.19 31.59800000000001),50
34.32,-96.3,2020-09-26,430,POINT (-96.3 34.32),39
34.318000000000005,-96.311,2020-09-26,430,POINT (-96.31100000000001 34.318),39
36.314,-118.767,2020-09-26,610,POINT (-118.767 36.314),3
36.47,-118.412,2020-09-26,610,POINT (-118.412 36.47),3
37.265,-119.442,2020-09-26,610,POINT (-119.442 37.265),1
37.26300000000001,-119.454,2020-09-26,610,POINT (-119.454 37.26300000000001),1
37.324,-119.109,2020-09-26,610,POINT (-119.109 37.324),1
37.283,-119.446,2020-09-26,610,POINT (-119.446 37.283),1
37.345,-119.177,2020-09-26,610,POINT (-119.177 37.345),1
37.365,-119.168,2020-09-26,610,POINT (-119.168 37.365),1
37.519,-119.327,2020-09-26,610,POINT (-119.327 37.519),1
37.518,-119.34,2020-09-26,610,POINT (-119.34 37.518),1
39.881,-121.27,2020-09-26,610,POINT (-121.27 39.881),4
40.046,-122.887,2020-09-26,610,POINT (-122.887 40.046),2
40.045,-122.899,2020-09-26,610,POINT (-122.899 40.045),2
40.043,-122.91,2020-09-26,610,POINT (-122.91 40.043),2
40.054,-122.901,2020-09-26,610,POINT (-122.901 40.054),2
40.052,-122.912,2020-09-26,610,POINT (-122.912 40.052),2
41.219,-106.408,2020-09-26,845,POINT (-106.408 41.219),0
41.164,-106.21,2020-09-26,845,POINT (-106.21 41.164),0
41.162,-106.193,2020-09-26,845,POINT (-106.193 41.162),0
41.16,-106.175,2020-09-26,845,POINT (-106.175 41.16),0
41.159,-106.264,2020-09-26,845,POINT (-106.264 41.159),0
41.157,-106.247,2020-09-26,845,POINT (-106.247 41.157),0
41.153,-106.212,2020-09-26,845,POINT (-106.212 41.153),0
41.152,-106.195,2020-09-26,845,POINT (-106.195 41.152),0
41.15,-106.177,2020-09-26,845,POINT (-106.177 41.15),0
41.148,-106.16,2020-09-26,845,POINT (-106.16 41.148),0
41.146,-106.142,2020-09-26,845,POINT (-106.142 41.146),0
41.145,-106.125,2020-09-26,845,POINT (-106.125 41.145),0
41.143,-106.109,2020-09-26,845,POINT (-106.109 41.143),0
41.14100000000001,-106.092,2020-09-26,845,POINT (-106.092 41.14100000000001),0
41.14,-106.076,2020-09-26,845,POINT (-106.076 41.14),0
41.146,-106.249,2020-09-26,845,POINT (-106.249 41.146),0
41.144,-106.231,2020-09-26,845,POINT (-106.231 41.144),0
41.143,-106.214,2020-09-26,845,POINT (-106.214 41.143),0
41.14100000000001,-106.196,2020-09-26,845,POINT (-106.196 41.14100000000001),0
41.139,-106.179,2020-09-26,845,POINT (-106.179 41.139),0
41.137,-106.162,2020-09-26,845,POINT (-106.162 41.137),0
41.136,-106.144,2020-09-26,845,POINT (-106.144 41.136),0
41.13399999999999,-106.127,2020-09-26,845,POINT (-106.127 41.13399999999999),0
41.132,-106.111,2020-09-26,845,POINT (-106.111 41.132),0
41.131,-106.094,2020-09-26,845,POINT (-106.094 41.131),0
41.129,-106.181,2020-09-26,845,POINT (-106.181 41.129),0
41.127,-106.164,2020-09-26,845,POINT (-106.164 41.127),0
41.125,-106.146,2020-09-26,845,POINT (-106.146 41.125),0
41.12300000000001,-106.13,2020-09-26,845,POINT (-106.13 41.12300000000001),0
41.122,-106.113,2020-09-26,845,POINT (-106.113 41.122),0
41.121,-106.218,2020-09-26,845,POINT (-106.218 41.121),0
41.12,-106.2,2020-09-26,845,POINT (-106.2 41.12),0
41.118,-106.183,2020-09-26,845,POINT (-106.183 41.118),0
41.11600000000001,-106.166,2020-09-26,845,POINT (-106.166 41.11600000000001),0
41.114,-106.149,2020-09-26,845,POINT (-106.149 41.114),0
41.113,-106.132,2020-09-26,845,POINT (-106.132 41.113),0
41.114,-106.255,2020-09-26,845,POINT (-106.255 41.114),0
41.112,-106.237,2020-09-26,845,POINT (-106.237 41.112),0
41.111,-106.219,2020-09-26,845,POINT (-106.219 41.111),0
41.109,-106.202,2020-09-26,845,POINT (-106.202 41.109),0
41.107,-106.184,2020-09-26,845,POINT (-106.184 41.107),0
41.106,-106.167,2020-09-26,845,POINT (-106.167 41.106),0
41.104,-106.15,2020-09-26,845,POINT (-106.15 41.104),0
41.107,-106.29,2020-09-26,845,POINT (-106.29 41.107),0
41.105,-106.273,2020-09-26,845,POINT (-106.273 41.105),0
41.103,-106.256,2020-09-26,845,POINT (-106.256 41.103),0
41.102,-106.239,2020-09-26,845,POINT (-106.239 41.102),0
41.1,-106.221,2020-09-26,845,POINT (-106.221 41.1),0
41.098,-106.203,2020-09-26,845,POINT (-106.203 41.098),0
41.104,-106.381,2020-09-26,845,POINT (-106.381 41.104),0
41.103,-106.364,2020-09-26,845,POINT (-106.364 41.103),0
41.101000000000006,-106.346,2020-09-26,845,POINT (-106.346 41.10100000000001),0
41.098,-106.31,2020-09-26,845,POINT (-106.31 41.098),0
41.096,-106.292,2020-09-26,845,POINT (-106.292 41.096),0
41.094,-106.275,2020-09-26,845,POINT (-106.275 41.094),0
41.103,-106.296,2020-09-26,845,POINT (-106.296 41.103),0
41.101000000000006,-106.279,2020-09-26,845,POINT (-106.279 41.10100000000001),0
41.099,-106.263,2020-09-26,845,POINT (-106.263 41.099),0
41.097,-106.245,2020-09-26,845,POINT (-106.245 41.097),0
41.096,-106.227,2020-09-26,845,POINT (-106.227 41.096),0
41.101000000000006,-106.387,2020-09-26,845,POINT (-106.387 41.10100000000001),0
41.099,-106.369,2020-09-26,845,POINT (-106.369 41.099),0
41.097,-106.353,2020-09-26,845,POINT (-106.353 41.097),0
41.096,-106.335,2020-09-26,845,POINT (-106.335 41.096),0
41.094,-106.317,2020-09-26,845,POINT (-106.317 41.094),0
41.092,-106.299,2020-09-26,845,POINT (-106.299 41.092),0
41.085,-106.336,2020-09-26,845,POINT (-106.336 41.085),0
40.707,-105.724,2020-09-26,845,POINT (-105.724 40.707),0
40.34,-123.291,2020-09-26,1025,POINT (-123.291 40.34),2
40.057,-122.901,2020-09-26,1025,POINT (-122.901 40.057),2
40.055,-122.887,2020-09-26,1025,POINT (-122.887 40.055),2
40.053,-122.907,2020-09-26,1025,POINT (-122.907 40.053),2
40.051,-122.895,2020-09-26,1025,POINT (-122.895 40.051),2
40.049,-122.881,2020-09-26,1025,POINT (-122.881 40.049),2
33.93,-111.781,2020-09-26,1815,POINT (-111.781 33.93),5
33.924,-111.805,2020-09-26,1815,POINT (-111.805 33.924),5
33.923,-111.793,2020-09-26,1815,POINT (-111.793 33.923),5
33.921,-111.783,2020-09-26,1815,POINT (-111.783 33.921),5
33.916,-111.812,2020-09-26,1815,POINT (-111.812 33.916),5
33.915,-111.801,2020-09-26,1815,POINT (-111.801 33.915),5
33.907,-111.814,2020-09-26,1815,POINT (-111.814 33.907),5
32.452,-114.847,2020-09-26,1815,POINT (-114.847 32.452),113
41.173,-106.14,2020-09-26,1810,POINT (-106.14 41.173),0
41.17100000000001,-106.128,2020-09-26,1810,POINT (-106.128 41.17100000000001),0
