latitude,longitude,date,hour
40.7,-105.73700000000001,2020-09-26,0435
41.089,-106.29899999999999,2020-09-26,0435
41.083999999999996,-106.323,2020-09-26,0435
41.135,-106.14299999999999,2020-09-26,0435
41.13,-106.167,2020-09-26,0435
41.125,-106.19,2020-09-26,0435
41.106,-106.28,2020-09-26,0435
41.101000000000006,-106.303,2020-09-26,0435
41.096000000000004,-106.32700000000001,2020-09-26,0435
41.091,-106.35,2020-09-26,0435
41.086000000000006,-106.37200000000001,2020-09-26,0435
41.147,-106.148,2020-09-26,0435
41.141999999999996,-106.171,2020-09-26,0435
41.137,-106.194,2020-09-26,0435
41.103,-106.355,2020-09-26,0435
41.098,-106.37700000000001,2020-09-26,0435
41.148999999999994,-106.198,2020-09-26,0435
41.144,-106.22200000000001,2020-09-26,0435
41.15,-106.156,2020-09-26,0435
41.145,-106.179,2020-09-26,0435
41.141000000000005,-106.20100000000001,2020-09-26,0435
41.11,-106.338,2020-09-26,0435
41.105,-106.363,2020-09-26,0435
41.1,-106.385,2020-09-26,0435
41.213,-106.40299999999999,2020-09-26,0435
41.215,-106.40899999999999,2020-09-26,0435
31.598000000000003,-96.19,2020-09-26,0430
34.32,-96.3,2020-09-26,0430
34.318000000000005,-96.311,2020-09-26,0430
36.314,-118.76700000000001,2020-09-26,0610
36.47,-118.412,2020-09-26,0610
37.265,-119.44200000000001,2020-09-26,0610
37.263000000000005,-119.454,2020-09-26,0610
37.324,-119.109,2020-09-26,0610
37.283,-119.446,2020-09-26,0610
37.345,-119.177,2020-09-26,0610
37.365,-119.16799999999999,2020-09-26,0610
37.519,-119.32700000000001,2020-09-26,0610
37.518,-119.34,2020-09-26,0610
39.881,-121.27,2020-09-26,0610
40.046,-122.887,2020-09-26,0610
40.045,-122.899,2020-09-26,0610
40.043,-122.91,2020-09-26,0610
40.054,-122.90100000000001,2020-09-26,0610
40.052,-122.912,2020-09-26,0610
41.218999999999994,-106.40799999999999,2020-09-26,0845
41.163999999999994,-106.21,2020-09-26,0845
41.162,-106.193,2020-09-26,0845
41.16,-106.175,2020-09-26,0845
41.159,-106.264,2020-09-26,0845
41.157,-106.24700000000001,2020-09-26,0845
41.153,-106.212,2020-09-26,0845
41.152,-106.195,2020-09-26,0845
41.15,-106.177,2020-09-26,0845
41.148,-106.16,2020-09-26,0845
41.146,-106.14200000000001,2020-09-26,0845
41.145,-106.125,2020-09-26,0845
41.143,-106.109,2020-09-26,0845
41.141000000000005,-106.09200000000001,2020-09-26,0845
41.14,-106.07600000000001,2020-09-26,0845
41.146,-106.249,2020-09-26,0845
41.144,-106.23100000000001,2020-09-26,0845
41.143,-106.214,2020-09-26,0845
41.141000000000005,-106.196,2020-09-26,0845
41.138999999999996,-106.179,2020-09-26,0845
41.137,-106.162,2020-09-26,0845
41.136,-106.14399999999999,2020-09-26,0845
41.13399999999999,-106.12700000000001,2020-09-26,0845
41.132,-106.111,2020-09-26,0845
41.131,-106.094,2020-09-26,0845
41.129,-106.181,2020-09-26,0845
41.126999999999995,-106.164,2020-09-26,0845
41.125,-106.146,2020-09-26,0845
41.123000000000005,-106.13,2020-09-26,0845
41.122,-106.113,2020-09-26,0845
41.121,-106.21799999999999,2020-09-26,0845
41.12,-106.2,2020-09-26,0845
41.118,-106.18299999999999,2020-09-26,0845
41.11600000000001,-106.166,2020-09-26,0845
41.114,-106.149,2020-09-26,0845
41.113,-106.132,2020-09-26,0845
41.114,-106.255,2020-09-26,0845
41.111999999999995,-106.23700000000001,2020-09-26,0845
41.111000000000004,-106.219,2020-09-26,0845
41.108999999999995,-106.20200000000001,2020-09-26,0845
41.107,-106.184,2020-09-26,0845
